username,mentionedusers,retweet
HumanHangnail,"[User(username='ThiccerWaifus', id=1396756100284928003, displayname='ThiccerWaifus Archive', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
DukeBoi_,"[User(username='Pro_Superhero', id=1161598997397553153, displayname='ProSuperhero', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zelda_knuckles', id=1372585768057761795, displayname='zelda the cat', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
realmanzk,"[User(username='HxhSao', id=1211084996343025664, displayname='Hikki', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Pro_Superhero,"[User(username='zelda_knuckles', id=1372585768057761795, displayname='zelda the cat', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
HamanKarnVEVO,,
WandererAlexthe,,
christian_knapp,,
kranchdressing,,
LioOneMorePixel,,
ZeebTheBaer,,
KHsNotebook,,
OpJester,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
LuchinoPurrs,,
Lock3N,"[User(username='AlexLight23', id=2392045039, displayname='Alex Light', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Lucacio_3,,
Musetrigger,,
spk632,,
shurmaster,"[User(username='JuanderfulJuans', id=338724378, displayname='Juanderful J. Juans', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TheTonySpade', id=2309079498, displayname='Tony Spade', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
EggyNeedles,,
link5469,,
Slink_Lovette,,
PamRodriguezHdz,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
The1llusiveMan,,
kaydens_gf,"[User(username='shinsokun', id=1284302626625064961, displayname='orie MOVED', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
TechSpot,,
terraknight23,,
mazestalker,,
AstrasEvolution,"[User(username='SwordyMeeks', id=962841941242150912, displayname='SwordyMeeks 🇺🇦', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
GelsenGaming,,
Evil_Antho,,
BetterThanOoT,,
notsoartistic,,
Zaellia_,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
MarsStudio1970,,
divinedeathboy,,
STWVideoBot,,
TheSnappyFrog,,
KDPheonix,"[User(username='EccentricArm777', id=2298236719, displayname='Armando777 | bIm', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Musetrigger,"[User(username='ThiccerWaifus', id=1396756100284928003, displayname='ThiccerWaifus Archive', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
ErrrrrrrrCRASH,,
deisgao,"[User(username='denossh', id=887144702532882432, displayname='Denosh || #EldenRing 🎮📖', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
HamanKarnVEVO,"[User(username='ThiccerWaifus', id=1396756100284928003, displayname='ThiccerWaifus Archive', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
quesosquestions,,
srpepe,,
Ninja_Dans_FH,,
ConterezKyamo,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
PeterLescaille,,
GeekLambert,,
hannahkatelyn49,,
WGGPapaDom,,
kordeliiius,,
LadyCassandrina,,
sweetcalves,,
supergames2x,,
Cxmpxctz,,
BoostedSTIG,"[User(username='csjorda', id=860716424012103680, displayname='Cass 🦋', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
NateSnow11,,
misterparker,,
ShiriEWolf,,
GeekLambert,,
TheHiddenBoss,,
DAMI_CORE,"[User(username='BigJoeySlaps', id=2336943739, displayname='💀𝕷𝖆𝖗𝖌𝖊 𝕵𝖔𝖘𝖊𝖕𝖍💀', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
AgentPrimeX1,"[User(username='ThiccerWaifus', id=1396756100284928003, displayname='ThiccerWaifus Archive', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Manre13,"[User(username='Uri_ELOY', id=1266007780974084096, displayname='Nadie', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
AlexMichnowicz,"[User(username='RosyHaven', id=1058410079639072768, displayname='🎀 Haven @ Endwalker Hype! 🎀', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
NikkoTheCurious,,
Omnigun,,
zoe_LCP,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
heliosx42,,
Falipay1,,
Dinobal2,,
toronai22,,
Precocious_momo,,
LucyOffStandBi,,
BrandJAlexander,,
therealFrankieV,,
StabbinsMcGee,,
_Dayspringg,,
BigJoeySlaps,,
ZaniestCartoon,,
MHiretsu,,
The_NSFW_WOLF,"[User(username='DullVivid', id=3223607684, displayname='heck (trying)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
MarsStudio1970,,
JayLegend87th,,
TheThirdKindTTV,,
cassiehalladay,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
weebanimeboi,,
SolaScientia7,,
maryann2573,,
foshokyo,"[User(username='superion_57', id=2262134043, displayname=""Yusuf's imaginary friend was cybertron metroplex"", description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
toronai22,,
TomLegend101,"[User(username='RobPlayinGames', id=1291194355, displayname=""🇷\u200cob🇵\u200clayin'🇬\u200cames"", description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
JasperYena,,
Nesquik_Queen,,
KayesspeeEN,"[User(username='MegaMania0', id=1008460822266425344, displayname='MegaMania', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
notyourguts,,
lovely_vah,"[User(username='Pro_Superhero', id=1161598997397553153, displayname='ProSuperhero', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='zelda_knuckles', id=1372585768057761795, displayname='zelda the cat', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
barkbox,"[User(username='carel_angel', id=1085091086, displayname='Angel Carel', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
DiscoDogonline,,
RoseEchoes,,
krrisin,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
mikesean45,,
_AdamCarter_,,
mamandiary,,
JohnTheWordsGuy,,
Blepeded,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
urgamerdad,,
TheMissingYink,,
2D2Will,,
hylia_force,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ZeldaDungeon', id=93739148, displayname='Zelda Dungeon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
DAMI_CORE,,
hikuro14,,
CaydenTheDawg,,
emiratesbailey,,
VitisSweets,,
questingbunny,,
RxngelDiego,,
stein_cami,,
Kili2892,,
DivineScholarrr,,
njcoffeejunkie,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
mrbmx22,"[User(username='NintendoAmerica', id=5162861, displayname='Nintendo of America', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
timely_u,"[User(username='MLeeLunsford', id=17939301, displayname='Mx. Moz 🖤', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AidenRS139', id=981997649049112576, displayname='Aiden139', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
mclovinnho,,
evanhegwood,,
Ibuprofeno600mg,"[User(username='CarlosSadness', id=37528422, displayname='Tropical Jesus 🌞', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
meatballsndwch,,
VillaMarcis,"[User(username='elcanalrandom', id=2229630614, displayname='El Canal Random', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
MaryEllenKatz,,
TheAnomalocaris,,
Light23K,"[User(username='nintendolife', id=26469931, displayname='Nintendo Life', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
MasterIckolas,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
saqlfaith,,
foxshadow214,,
KaroSketches,"[User(username='_meredi_', id=2978950911, displayname='Meredi⁷', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='xPandorya', id=1519477262, displayname='Pandorya 💎', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Numpsie,"[User(username='Blue_Anteater', id=4858157428, displayname='Fred', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mystery_zelda', id=397407418, displayname='Speedput ✍🏻', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BommelHasa', id=2789463507, displayname='Gubi', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
SushiLang,,
SMetaldave64,,
llagerlof,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
JuanderfulJuans,"[User(username='DaMiffinMan', id=180855639, displayname='Miffin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TheTonySpade', id=2309079498, displayname='Tony Spade', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
masteroftime17,"[User(username='NintendoAmerica', id=5162861, displayname='Nintendo of America', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
stewada,"[User(username='YouTube', id=10228272, displayname='YouTube', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
teh_sherms,,
SkyloftSword,,
Mityr_,,
FEARLESSCHRIS8,,
okwxAdam,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Charsfx,,
Omega_Haunter,,
DaMiffinMan,"[User(username='JuanderfulJuans', id=338724378, displayname='Juanderful J. Juans', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TheTonySpade', id=2309079498, displayname='Tony Spade', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
BabyBoiLogey,,
astromawu,,
hallwaygamesdev,,
robotspacefish,,
T_Sharp50,,
mitskiIeaks,,
JVGM98,,
RatedR57,"[User(username='FredZolf', id=106067105, displayname='Frédéric Zolfanelli', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Muscle_Milkk,"[User(username='TheHamTornado', id=3642062052, displayname='The Yummy Yankee', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
OFantasyStudios,,
roms2332,,
some_zelda_nerd,,
Kairamek,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Warbot400,,
Wyndygo,,
ZeldaInformer,,
TLoZeldaES,,
_MalevolentMal,,
TermNerdy,,
vixylafoen,,
gnarcader,,
cTheRhythm,,
IGNitalia,"[User(username='IGNitalia', id=759474386, displayname='IGN Italia', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
AntwanTheGod,,
JessicaMelody16,,
Gh0stVVolf,,
BIazingWaters,"[User(username='HEARTISBLAZING', id=1025614261580648448, displayname='Dan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
astromawu,,
larriekong,,
mutantdog123,"[User(username='tholzerman', id=19907949, displayname=""Bad times don't last, but bad guys do."", description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
AlexMichnowicz,"[User(username='mochyneko', id=1383750051890044930, displayname='mochy.neko', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
SuaveVillain,,
Komiburne,,
Buster5ive,,
_MalevolentMal,,
TheHitchhyker,,
Renart_Dioramas,,
not_guts,"[User(username='gng_ssb', id=928863614315958272, displayname='HAVA | Grace And Glory', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
Xpyder_,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
aamemuraa,,
AhziArt,"[User(username='DullVivid', id=3223607684, displayname='heck (trying)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
precambrianslut,,
khohannessian,"[User(username='SarahElizaBrunt', id=4876715601, displayname='Sarah', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
KingofJacks86,,
CarlsMcMarls,,
TheRealRival_94,,
RoxaLink,,
Fresh64_,"[User(username='Zeldathons', id=929059817146200064, displayname='➡️ @Zeldathon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ZeldaDungeon', id=93739148, displayname='Zelda Dungeon', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
mrqz94,,
Ariwl1Ray,,
lsthief,,
MacchiatoLeMeow,,
DanteZ41D,"[User(username='_Shergiock_', id=275011369, displayname='Shergiock', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",
taennielink,,
SchmamTheKid,,
