user_posting_tweet,user_mentioned
MarkCushen87,MarkCushen8
knivesfaerie,DojaCat
ZakRed567,reinersgoatee
Artakaashi_,ForetellersL
Axelblvze,Axelblvz
heirial,fath0bbit
MadokaTokisaki,MadokaTokisak
cephalopod_love,Zeldathons
cephalopod_love,ZeldaUniverse
7H30NLYF3RNZ74N,7H30NLYF3RNZ74
SupremeSchaf,spiegelbro
SupremeSchaf,JustVNTY
SupremeSchaf,YungGlurak
SupremeSchaf,drecksuser
SupremeSchaf,Mupf05YT
SupremeSchaf,DonBauero
SupremeSchaf,YungKermit1
SupremeSchaf,KurzVorAbgrund
SupremeSchaf,Mynex_
SupremeSchaf,yflexn0
SupremeSchaf,Zelda_king13
SupremeSchaf,der__oasch
spiegelbro,Zelda_king13
spiegelbro,JustVNTY
spiegelbro,YungGlurak
spiegelbro,drecksuser
spiegelbro,Mupf05YT
spiegelbro,DonBauero
spiegelbro,YungKermit1
spiegelbro,KurzVorAbgrund
spiegelbro,Mynex_
spiegelbro,yflexn0
bel_inda_b,Zelda_Doyle
MrFranCazorla,MrFranCazorl
spiegelbro,Mupf05YT
spiegelbro,JustVNTY
spiegelbro,YungGlurak
spiegelbro,drecksuser
spiegelbro,DonBauero
spiegelbro,YungKermit1
spiegelbro,KurzVorAbgrund
spiegelbro,Mynex_
spiegelbro,yflexn0
spiegelbro,Zelda_king13
MJenkins91,MJenkins9
DatMaxNub,DatMaxNu
Ashitaka1110,Zeldathons
blizmo2,Zeldathons
blizmo2,ZeldaUniverse
TrevorTate2,TrevorTate
JorgeRuizC_,geoffkeighley
Wolffz580,Zeldathons
Wolffz580,ZeldaUniverse
ingenexpert,ingenexper
giga_clown,giga_clow
seasaltcosmos,seasaltcosmo
curiouscorvids,curiouscorvid
Parachutin_Link,WinterMuteJelly
Parachutin_Link,CocoMuir_
Zeldafa33546926,Zeldathons
Zeldafa33546926,ZeldaUniverse
SLRDLLSDZR,Zeldathons
SLRDLLSDZR,ZeldaUniverse
Mupf05YT,spiegelbro
Mupf05YT,JustVNTY
Mupf05YT,YungGlurak
Mupf05YT,drecksuser
Mupf05YT,DonBauero
Mupf05YT,YungKermit1
Mupf05YT,KurzVorAbgrund
Mupf05YT,Mynex_
Mupf05YT,yflexn0
Mupf05YT,Zelda_king13
thebuckeyegamer,thebuckeyegame
SophieIsMid,SophieIsMi
MilesRS677,reinersgoatee
YaBoiJoel96,YaBoiJoel9
JessMcDonaldVO,JessMcDonaldV
RGONZALEZ1978,RGONZALEZ197
lilfoot06,spiegelbro
lilfoot06,JustVNTY
lilfoot06,YungGlurak
lilfoot06,drecksuser
lilfoot06,Mupf05YT
lilfoot06,DonBauero
lilfoot06,YungKermit1
lilfoot06,KurzVorAbgrund
lilfoot06,Mynex_
lilfoot06,yflexn0
lilfoot06,Zelda_king13
banjo_ok,GluffOfficial
banjo_ok,nintendolife
BombchuLinksona,BombchuLinkson
Corexxed__,Corexxed_
mlf140,Zeldathons
mlf140,ZeldaUniverse
OneStepAheadd,OneStepAhead
evantually__,evantually_
natashouu,natashou
Mynex_,spiegelbro
Mynex_,JustVNTY
Mynex_,YungGlurak
Mynex_,drecksuser
Mynex_,Mupf05YT
Mynex_,DonBauero
Mynex_,YungKermit1
Mynex_,KurzVorAbgrund
Mynex_,yflexn0
Mynex_,Zelda_king13
PracticalSilver,PracticalSilve
myboerek,spiegelbro
myboerek,JustVNTY
myboerek,YungGlurak
myboerek,drecksuser
myboerek,Mupf05YT
myboerek,DonBauero
myboerek,YungKermit1
myboerek,KurzVorAbgrund
myboerek,Mynex_
myboerek,yflexn0
myboerek,Zelda_king13
TrivonikaDemary,TrivonikaDemar
yflexn0,spiegelbro
yflexn0,JustVNTY
yflexn0,YungGlurak
yflexn0,drecksuser
yflexn0,Mupf05YT
yflexn0,DonBauero
yflexn0,YungKermit1
yflexn0,KurzVorAbgrund
yflexn0,Mynex_
yflexn0,Zelda_king13
banjo_ok,nintendolife
mellyinpain,spiegelbro
mellyinpain,JustVNTY
mellyinpain,YungGlurak
mellyinpain,drecksuser
mellyinpain,Mupf05YT
mellyinpain,DonBauero
mellyinpain,YungKermit1
mellyinpain,KurzVorAbgrund
mellyinpain,Mynex_
mellyinpain,yflexn0
mellyinpain,Zelda_king13
Heartle55Prince,Zeldathons
Heartle55Prince,ZeldaUniverse
diamond78150,Papaboubadiopp
Anpumon,Anpumo
BarbeXceed,BarbeXcee
MikeRohSoft_,spiegelbro
MikeRohSoft_,JustVNTY
MikeRohSoft_,YungGlurak
MikeRohSoft_,drecksuser
MikeRohSoft_,Mupf05YT
MikeRohSoft_,DonBauero
MikeRohSoft_,YungKermit1
MikeRohSoft_,KurzVorAbgrund
MikeRohSoft_,Mynex_
MikeRohSoft_,yflexn0
MikeRohSoft_,Zelda_king13
cj06069,cj0606
spiegelbro,monkqn
spiegelbro,JustVNTY
spiegelbro,YungGlurak
spiegelbro,drecksuser
spiegelbro,Mupf05YT
spiegelbro,DonBauero
spiegelbro,YungKermit1
spiegelbro,KurzVorAbgrund
spiegelbro,Mynex_
spiegelbro,yflexn0
spiegelbro,Zelda_king13
Gael_Vulture,huffybigpup
YungKermit1,spiegelbro
YungKermit1,JustVNTY
YungKermit1,YungGlurak
YungKermit1,drecksuser
YungKermit1,Mupf05YT
YungKermit1,DonBauero
YungKermit1,KurzVorAbgrund
YungKermit1,Mynex_
YungKermit1,yflexn0
YungKermit1,Zelda_king13
RocketttZ,spiegelbro
RocketttZ,JustVNTY
RocketttZ,YungGlurak
RocketttZ,drecksuser
RocketttZ,Mupf05YT
RocketttZ,DonBauero
RocketttZ,YungKermit1
RocketttZ,KurzVorAbgrund
RocketttZ,Mynex_
RocketttZ,yflexn0
RocketttZ,Zelda_king13
ParasiteElle,ParasiteEll
SupremeSchaf,spiegelbro
SupremeSchaf,JustVNTY
SupremeSchaf,YungGlurak
SupremeSchaf,drecksuser
SupremeSchaf,Mupf05YT
SupremeSchaf,DonBauero
SupremeSchaf,YungKermit1
SupremeSchaf,KurzVorAbgrund
SupremeSchaf,Mynex_
SupremeSchaf,yflexn0
SupremeSchaf,Zelda_king13
littlesmegger,Zeldathons
littlesmegger,ZeldaUniverse
lil_smoothbrain,kawaisprite
amoymon_,amoymon
spiegelbro,MikeRohSoft_
spiegelbro,JustVNTY
spiegelbro,YungGlurak
spiegelbro,drecksuser
spiegelbro,Mupf05YT
spiegelbro,DonBauero
spiegelbro,YungKermit1
spiegelbro,KurzVorAbgrund
spiegelbro,Mynex_
spiegelbro,yflexn0
spiegelbro,Zelda_king13
xlxx___,spiegelbro
xlxx___,JustVNTY
xlxx___,YungGlurak
xlxx___,drecksuser
xlxx___,Mupf05YT
xlxx___,DonBauero
xlxx___,YungKermit1
xlxx___,KurzVorAbgrund
xlxx___,Mynex_
xlxx___,yflexn0
xlxx___,Zelda_king13
monkqn,spiegelbro
monkqn,JustVNTY
monkqn,YungGlurak
monkqn,drecksuser
monkqn,Mupf05YT
monkqn,DonBauero
monkqn,YungKermit1
monkqn,KurzVorAbgrund
monkqn,Mynex_
monkqn,yflexn0
monkqn,Zelda_king13
LeMisteriorsous,LeMisteriorsou
MikeRohSoft_,spiegelbro
MikeRohSoft_,JustVNTY
MikeRohSoft_,YungGlurak
MikeRohSoft_,drecksuser
MikeRohSoft_,Mupf05YT
MikeRohSoft_,DonBauero
MikeRohSoft_,YungKermit1
MikeRohSoft_,KurzVorAbgrund
MikeRohSoft_,Mynex_
MikeRohSoft_,yflexn0
MikeRohSoft_,Zelda_king13
BeShiek,Zeldathons
BeShiek,ZeldaUniverse
TrivonikaDemary,TrivonikaDemar
0XXPAPI,0XXPAP
danidurantula,danidurantul
GTL1982,ZachariusD
ThatEmTiOne,ThatEmTiOn
XeroTek,XeroTe
SirPoofington,Zeldathons
SirPoofington,ZeldaUniverse
ItsMeAgainHEYY,Zelda_king13
faits,fait
lasagnaed,lasagnae
alexc_velo,alexc_vel
HorseRawa,HorseRaw
RavenNamedRook,RavenNamedRoo
captainwizard,ZachariusD
feeheelee,cactuskash
YXURITR0V,YXURITR0
Jonzor234,ZachariusD
huffybigpup,huffybigpu
djmajic_,djmajic
JoCoats88,JoCoats8
ForetellersL,Artakaashi_
LUBOttom,Zelda_Fortune
johnehartley,TrendOrchestra
Mupf05YT,Zelda_king13
Mupf05YT,drecksuser
Mupf05YT,onikadrip
DorkAssWeeb790,DorkAssWeeb79
Cillian_032,nintendolife
Dolphinazee1,MegaMania0
YvoDreamcatcher,A_Darya79
YvoDreamcatcher,MommaTwexy
YvoDreamcatcher,cat_magic3
YvoDreamcatcher,Bonu19RC
YvoDreamcatcher,SarahSiren16
YvoDreamcatcher,UKLCH
YvoDreamcatcher,AlliCamAllison
YvoDreamcatcher,Antonel56196938
YvoDreamcatcher,DonnaVita4
YvoDreamcatcher,rumplewrld
YvoDreamcatcher,abibliophobica
YvoDreamcatcher,NiaNiam2
YvoDreamcatcher,tweetNorvena
YvoDreamcatcher,sithlord_zelda
YvoDreamcatcher,Oh_Marie1
YvoDreamcatcher,Rumple12th
Topplenaut,Zeldathons
Courtney_Fay_M,Courtney_Fay_
_atariatlas,_atariatla
DarkYapper,DarkYappe
KnightoftheLP,KnightoftheL
Yugo_II,Yugo_I
n64controller,n64controlle
3BroLives,3BroLive
TheRunePony,TheRunePon
Grant_Hanlon,Grant_Hanlo
PlanetRunsGames,PlanetRunsGame
Koymaro,Koymar
phoenix_martin,phoenix_marti
NMEnygma,Zeldathons
ficom23,WasderGG
PopCulturePD,ThiccerWaifus
faeoftheMoon,faeoftheMoo
TheRavvyn,TheRavvy
Duda_Burst,Duda_Burs
dranocross,dranocros
Duda_Burst,Duda_Burs
GameOverJesse,TGA_Geekdom
GameOverJesse,_MissClick_
memoryyetgreen,Zeldathons
MattDLuke,Zeldathons
Hydrixtheaqua,Hydrixtheaqu
Jusacuz,Zeldathons
lucas_pasion,lucas_pasio
davidbv4040,davidbv404
BLAZINGKNIGHT50,BLAZINGKNIGHT5
Mupf05YT,Zelda_king13
Mupf05YT,drecksuser
Mupf05YT,onikadrip
TheThirdKindTTV,TheThirdKindTT
wildheartfandom,wildheartfando
apolluci,apolluc
JoeSchermann,JoeScherman
PoesiaYRelatos,PoesiaYRelato
MesOPKenPMA,MesOPKenPM
CalexTheNeko,CalexTheNek
Mupf05YT,Zelda_king13
Mupf05YT,drecksuser
Mupf05YT,onikadrip
May_greed_2010,May_greed_201
JannitutsG,Zelda_king13
gabelacerdav,_pure_1
EscheroOfficial,Zeldathons
CalexTheNeko,CalexTheNek
runninhillbilly,runninhillbill
thegamebrass,Zeldathons
Fidoz,Fido
FelipeQCorrea,BrasilGameShow
Netambulo,Netambul
TingleIsMyHero,TingleIsMyHer
VideoArtGame,666pigeon
PennieDPortgas,PennieDPortga
Warbot400,Warbot40
gominismo,gominism
skipperrocks25,skipperrocks2
BrettCook712,nerdist
NeikoCat,FartShartly
LegendofRebekah,LegendofRebeka
ACinthe715,ACinthe71
albacxr,albacx
mikeno1980,Zeldathons
sam_hates_music,sam_hates_musi
PsiYoshi,Silverjojo08
RPG__Nut,RPG__Nu
xMYHATREDx,Scotland1509
xMYHATREDx,xFatalHeartz
xMYHATREDx,KellySillery
xMYHATREDx,xstex
xMYHATREDx,GenesaurusRex
xMYHATREDx,ryanblm1234
xMYHATREDx,TheJarrodAF
huffybigpup,huffybigpu
n64controller,n64controlle
eiayay,eiaya
May_greed_2010,May_greed_201
superolimacwrld,superolimacwrl
tgtkai,tgtka
MoniPandas,MoniPanda
luca_starks,luca_stark
raidenbestgirl,raidenbestgir
AlanDefibaugh,AlanDefibaug
x_PapaS_x,x_PapaS_
MummyGrenouille,MummyGrenouill
Man2165091022,Man216509102
NathanPurcell56,NathanPurcell5
Jonzor234,Jonzor23
SoraTheDog94,MatiJeCrois
OtraVez1967,A_Darya79
OtraVez1967,MommaTwexy
OtraVez1967,cat_magic3
OtraVez1967,Bonu19RC
OtraVez1967,SarahSiren16
OtraVez1967,UKLCH
OtraVez1967,AlliCamAllison
OtraVez1967,Antonel56196938
OtraVez1967,DonnaVita4
OtraVez1967,rumplewrld
OtraVez1967,abibliophobica
OtraVez1967,NiaNiam2
OtraVez1967,tweetNorvena
OtraVez1967,sithlord_zelda
OtraVez1967,Oh_Marie1
OtraVez1967,Rumple12th
Sornimmos1,Sornimmos
SeninPicka,SeninPick
EscheroOfficial,ThiccerWaifus
NotEnoughGolds,Zeldathons
ssweettooth4u,karlsquackity
DracoWolf92,DracoWolf9
KaizenCreed,heyo_KazeTS
KaizenCreed,IndieFgc
KaizenCreed,matstarify
KaizenCreed,HeyoSatsu
KaizenCreed,matstarify
OtraVez1967,sithlord_zelda
OtraVez1967,MommaTwexy
OtraVez1967,cat_magic3
OtraVez1967,Bonu19RC
OtraVez1967,SarahSiren16
OtraVez1967,UKLCH
OtraVez1967,AlliCamAllison
OtraVez1967,Antonel56196938
OtraVez1967,A_Darya79
OtraVez1967,DonnaVita4
OtraVez1967,rumplewrld
OtraVez1967,abibliophobica
OtraVez1967,NiaNiam2
OtraVez1967,tweetNorvena
OtraVez1967,Oh_Marie1
OtraVez1967,Rumple12th
aSheepie,Lord_Arse
aSheepie,Tony_RDTN
aSheepie,DiceAndNames
cholington,cholingto
Sheriff_D_F,Sheriff_D_
thejustryan,Supercaliy
cdric_1409,Zelda_king13
Scotland1509,xMYHATREDx
Scotland1509,xFatalHeartz
Scotland1509,KellySillery
Scotland1509,xstex
Scotland1509,GenesaurusRex
Scotland1509,ryanblm1234
Scotland1509,TheJarrodAF
WlCKEDTWlSTER,WlCKEDTWlSTE
OtraVez1967,MommaTwexy
OtraVez1967,cat_magic3
OtraVez1967,Bonu19RC
OtraVez1967,SarahSiren16
OtraVez1967,UKLCH
OtraVez1967,AlliCamAllison
OtraVez1967,Antonel56196938
OtraVez1967,A_Darya79
OtraVez1967,DonnaVita4
OtraVez1967,rumplewrld
OtraVez1967,abibliophobica
OtraVez1967,NiaNiam2
OtraVez1967,tweetNorvena
OtraVez1967,sithlord_zelda
OtraVez1967,Oh_Marie1
OtraVez1967,Rumple12th
konsti51214,Zelda_king13
jesusvlad,jesusvla
A_Darya79,MommaTwexy
A_Darya79,cat_magic3
A_Darya79,Bonu19RC
A_Darya79,SarahSiren16
A_Darya79,UKLCH
A_Darya79,AlliCamAllison
A_Darya79,Antonel56196938
A_Darya79,DonnaVita4
A_Darya79,rumplewrld
A_Darya79,abibliophobica
A_Darya79,NiaNiam2
A_Darya79,tweetNorvena
A_Darya79,sithlord_zelda
A_Darya79,Oh_Marie1
A_Darya79,Rumple12th
ODellHarmonJr,BAWilliams95
ODellHarmonJr,ZachariusD
McCarron,bpapa
zane622,nerdist
Maass_Fuerte,Maass_Fuert
spiderqu33n,spiderqu33
N8W0LF,N8W0L
NevermindMach,NevermindMac
ProudPopplio,ProudPoppli
narunoodz,Zeldathons
FxBlvck,Zelda_king13
Mdwg59,Mdwg5
Tehleetazn,Tehleetaz
ChrisReeves109,ChrisReeves10
ToshiroHyuga,ToshiroHyug
Fabi7911,Zeldathons
AmazingDrewbob,Zeldathons
Game_Realms,Game_Realms
AmazinglyCrapt1,nerdist
inawoodenhouse,inawoodenhous
TheNintendata,TheNintendat
LuisMThen,LuisMThe
NeikoCat,NeikoCa
_Corvi_,_Corvi
YvoDreamcatcher,MommaTwexy
YvoDreamcatcher,cat_magic3
YvoDreamcatcher,Bonu19RC
YvoDreamcatcher,SarahSiren16
YvoDreamcatcher,UKLCH
YvoDreamcatcher,AlliCamAllison
YvoDreamcatcher,Antonel56196938
YvoDreamcatcher,A_Darya79
YvoDreamcatcher,DonnaVita4
YvoDreamcatcher,rumplewrld
YvoDreamcatcher,abibliophobica
YvoDreamcatcher,NiaNiam2
YvoDreamcatcher,tweetNorvena
YvoDreamcatcher,sithlord_zelda
YvoDreamcatcher,Oh_Marie1
YvoDreamcatcher,Rumple12th
zeldahorizons,Zeldathons
Kesswylie,Kesswyli
JacobAllen918,JacobAllen91
MarioDreew,tlachingon
RadicalCapitol,RadicalCapito
FavianQuezada,FavianQuezad
Rodrisen_,Rodrisen
PokeDude011,PokeDude01
bobbitwyrm,bobbitwyr
HyrulianJulian,HyrulianJulia
Gael_Vulture,Gael_Vultur
Rumple12th,MommaTwexy
Rumple12th,cat_magic3
Rumple12th,Bonu19RC
Rumple12th,SarahSiren16
Rumple12th,UKLCH
Rumple12th,AlliCamAllison
Rumple12th,Antonel56196938
Rumple12th,A_Darya79
Rumple12th,DonnaVita4
Rumple12th,rumplewrld
Rumple12th,abibliophobica
Rumple12th,NiaNiam2
Rumple12th,tweetNorvena
Rumple12th,sithlord_zelda
Rumple12th,Oh_Marie1
Oltskusku,NegzBucket
sxturnvhs,sxturnvh
FartShartly,FartShartl
mimishiro,mimishir
allennfantastic,allennfantasti
bottleo_sake,bottleo_sak
Broatmeal_,Broatmeal
OtraVez1967,MommaTwexy
OtraVez1967,cat_magic3
OtraVez1967,Bonu19RC
OtraVez1967,SarahSiren16
OtraVez1967,UKLCH
OtraVez1967,AlliCamAllison
OtraVez1967,Antonel56196938
OtraVez1967,A_Darya79
OtraVez1967,DonnaVita4
OtraVez1967,rumplewrld
OtraVez1967,abibliophobica
OtraVez1967,NiaNiam2
OtraVez1967,tweetNorvena
OtraVez1967,sithlord_zelda
OtraVez1967,Oh_Marie1
OtraVez1967,Rumple12th
EdgevilleG,Edgeville
bottleo_sake,bottleo_sak
NeedthatAftussy,NeedthatAftuss
callieicos,callieico
adamisafox,Jotaru_Josey
iconicqueen12,iconicqueen1
bottleo_sake,bottleo_sak
MeanBeanSteen,Zeldathons
DanielKalban,DanielKalba
capnsquishy,LegitReed24
capnsquishy,ProZD
witchymnk,witchymn
Tigerton_,Tigerton
timesahourglass,Zeldathons
BerMEWdez728,BerMEWdez72
Kryl3x,Zelda_king13
TomGyroid,TomGyroi
coulombe,coulomb
AlixDakota,AlixDakot
RanchHandjob,RanchHandjo
GeorgeSrTweets,GeorgeSrTweet
Lorenz_4734,Lorenz_473
PushingButtonsD,PushingButtons
Sayngelic,Unapathetic
Sayngelic,19myle
Sayngelic,CEOofKaneki
LCeb13,nerdist
Lord_Arse,Lord_Ars
ThatOneJake,ZachariusD
Final_BossXL,Final_BossX
fondaisferal,fondaisfera
KingLucario448,KingLucario44
j_fuentes55,j_fuentes5
fakegeekbot,fakegeekbo
august_mina,MooneyDoc2
august_mina,EizabethElliott
samwise495,samwise49
Courtney_Fay_M,Courtney_Fay_
chimpchilin,chimpchili
ben_alterman,ben_alterma
ZeldasNeighbor,ZeldasNeighbo
LightningKyle,HMKilla
VenomKitetsu,VenomKitets
wafflesOmega,wafflesOmeg
jthacker785,jthacker78
Bi_trash_king,Bi_trash_kin
NefariousAryq,NefariousAry
wooordwooord925,wooordwooord92
Cureoflove,Cureoflov
utaflair,utaflai
Sekenneri,JonBaker
doctorLURK,doctorLUR
mellyinpain,Zelda_king13
BaconatorBabe,BaconatorBab
colinlemoncake,colinlemoncak
9ofswordsgames,9ofswordsgame
teamcoachella,teamcoachell
Inestimate,Play_More_KOF
JonathanPariso5,UnchainedYtb
JonathanPariso5,msifrance
JonathanPariso5,zelda_link
ttttom23,ttttom2
OniBelfi,Almansa91
OniBelfi,SheikavOficial
OniBelfi,DaniCanovasLoto
AstroTJP,AstroTJ
ugly_twt,ugly_tw
konsti51214,Zelda_king13
Leina_pinc,presea_zelda
Einsiety,Einsiet
moonchildstkn,moonchildstk
twilisita,twilisit
what_the_heath,what_the_heat
tjamara_,Zelda_king13
they_new,they_ne
PunkishRiot,PunkishRio
Shaxreym,Zelda_king13
kochamxie_,kochamxie
babycakin,SMetaldave64
Im_notafish,Im_notafis
BlooTimbs,Zeldathons
element_61,nerdist
shaispain_,Zelda_king13
im_not_art,im_not_ar
sharp_iiii,Zelda_king13
MichaelLeek1,MichaelLeek
NINETIESWITCH,NINETIESWITC
BeccaNewsome,BeccaNewsom
ttwoson,ttwoso
JacobMonks1,JacobMonks
TheRealBrzungdy,Zeldathons
BlackstarMBV,BlackstarMB
Silverjojo08,Silverjojo0
thedoddsquad,storiofmylife
thedoddsquad,chrisxchad732
thedoddsquad,LordShadow27
thedoddsquad,bowen_tim
thedoddsquad,DreamyWarrior00
thedoddsquad,vercevil
thedoddsquad,That1JakeGuy
thedoddsquad,FreckledRanger
thedoddsquad,knuckles_8
thedoddsquad,PandaKami17
thedoddsquad,studio_cascade
thedoddsquad,theclassicsgirl
thedoddsquad,ChaiPanDuh
thedoddsquad,Mack_Attack22
thedoddsquad,oatmealraisnazn
thedoddsquad,A_Wild_Seri
thedoddsquad,ghosty_geist
thedoddsquad,Fae_TheUnicorn
thedoddsquad,WheezyC_
thedoddsquad,ZeroKJD
thedoddsquad,The_Tiny_Tim
thedoddsquad,johnswayze9958
thedoddsquad,ryugayzaki
thedoddsquad,NatalieeCatalie
thedoddsquad,I_Sempiternal
IcebergSynth,IcebergSynt
FinnishFlying,ThirteenXIII1
FinnishFlying,promo_streams
FinnishFlying,sme_rt
FinnishFlying,Twitch_RT
FinnishFlying,TwitchStreamSUP
PumpK1ngs,artbyjacstudio
Jotaru_Josey,Jotaru_Jose
Ovumel,Zeldathons
jason___michael,jason___michae
bojoux,bojou
DJtrix_YT,DJtrix_Y
BunBanely,Ganondoodles
projectjax,RyanLeeMP
projectjax,kaytea48
ETGers,ETGer
NGDAverk,UKLCH
NGDAverk,cat_magic3
NGDAverk,A_Darya79
NGDAverk,NiaNiam2
NGDAverk,Bonu19RC
NGDAverk,KingCarlyle_
NGDAverk,Paula_McCarlyle
NGDAverk,NadinFrog
NGDAverk,MommaTwexy
NGDAverk,DonnaVita4
NGDAverk,sithlord_zelda
NGDAverk,bonnietylerfan5
NGDAverk,Oh_Marie1
NGDAverk,tweetNorvena
NGDAverk,Anna55714043
_ayasap,_ayasa
kopite_al,justan0therw00l
funnily_unfunny,Zeldathons
CoronerFurm,CoronerFur
KPTTownie,KPTTowni
_ayasap,_ayasa
iGojou_u,ak8tsuki
TomGyroid,TomGyroi
Arejang,dctr_binary
RossVarner,RossVarne
GateThief,GateThie
Twwotaz,Twwota
RetroGamingDev,RetroGamingDe
Blu_ReyMysterio,carolianna_
elixirinq,graburcrucifix
d_arm28,d_arm2
Naitor_5,Naitor_
DarthGordoPR,nerdist
HermeNateics,HermeNateic
itotallyagree0,itotallyagree
TysonaterVA,CallMeKelliope
feelgoodclubb,ThiccerWaifus
ChilligChillig7,Zelda_king13
mrgregshields,mrgregshield
jennerman005,Nintendeal
juanpgarciac,juanpgarcia
Ixbran,trforceprincess
Press_B_Studios,Press_B_Studio
MefistoG,WizzardOfTime
Chaptr_two,Chaptr_tw
Xavi_MK,Xavi_M
MasterJunior93,MasterJunior9
Spicetag,Spiceta
vergilecter,vergilecte
playcritically,playcriticall
Uraway_Maker,Uraway_Make
Wurtzel_TM,Zeldathons
RealDraftPunks,RavenNamedRook
RealDraftPunks,HyrulePod
RealDraftPunks,WalterWethermen
MollyOKami,MollyOKam
GlassTurtle1,GlassTurtle
Vash4e,Vash4
NateMing,NateMin
GhostGotJuice,GhostGotJuic
Swerto,Swert
HomoPestilence,HomoPestilenc
kalufurret,kalufurre
KPTTownie,KPTTowni
Renwin64,Zeldathons
Haniyadhaniya,Haniyadhaniy
PawInspector,PawInspecto
MrWolfmiester,MrWolfmieste
Guiverno1,Real_DasGnomo
SigiSchnosel,Zelda_king13
NinWire,NinWir
ayoants,schmiddi090
JuanDan73587313,JuanDan7358731
old_orange_peel,old_orange_pee
Play_More_KOF,Play_More_KO
Distribucionyma,Distribucionym
DSanter94,FrankieJesstein
mowseler,mowsele
HylianHero98,HylianHero9
skepticalpunk,HMKilla
NFan_Official,PushDustIn
VicenteAlmerich,VicenteAlmeric
kiwimonogatari,kiwimonogatar
ChumblesFluffy,ChumblesFluff
Ezelf101,Ezelf10
UltSaiyanBryan,Zeldathons
LittleBirdieO,LittleBirdie
aromasensei18,ks_chaos
aromasensei18,Kinvestigadxss
aromasensei18,ArtistsNsfw
aromasensei18,legend_of_zelda
kyogreswimming,kyogreswimmin
Grizzled_Gaming,Grizzled_Gamin
hyperbolu,hyperbol
august_mina,EizabethElliott
august_mina,JoshCloss
yukimura_4,BurningDK_Vlc
yukimura_4,MaxxenGoal
yukimura_4,EricRod_LYV
yukimura_4,RanguGamer
Juan_ATellado,Juan_ATellad
ChiggityChives,ChiggityChive
FallnPhoenix,nerdist
lttlkng,Zeldathons
ShelOrangeHusky,ShelOrangeHusk
heyyyalan,heyyyala
BTNL_Law_Firm,BTNL_Law_Fir
Ayden_BP,Ayden_B
AqueleRaphael,gustavopetro
AqueleRaphael,ericarrache
AqueleRaphael,Edson_Ribeiro
JustTaylorr,JustTaylor
Eloy_Vecino,FireWildcat
AllBlues2020,AllBlues202
icy_orangejuice,icy_orangejuic
MSico,DouggernaughtTV
MSico,HipHarbinger
MSico,ctotheatherine
RushSanches,TheArbulu
SuperGuyNumber1,SuperGuyNumber
NDibbley,TheNasher61
NDibbley,NoSleevesGaming
OlToons,OlToon
Evil827_,Evil827
NecrolytheGames,WizzardOfTime
NecrolytheGames,LiliTheGamer
JaseThomasYT,JaseThomasY
Finn_Dingo,ZachariusD
analorule9,ImNot_Zelda
RavioliBoi7,RavioliBoi
LuciDSea98,LuciDSea9
MainframeCore,MainframeCor
ODellHarmonJr,ODellHarmonJ
annethehobbit,gabrielaperes_
AlixDakota,_favlightskin_
Torteweeenie,Torteweeeni
ImInThatVoid,Bleach_Bae
lysihtea,lysihte
Courtney_Fay_M,Courtney_Fay_
djjoycie,djjoyci
XLeopo,De_Assis98
XLeopo,Tiu_JowYT
XLeopo,JoeCoolXbox
XLeopo,alemaunzinhuu
XLeopo,PastorXbox
XLeopo,vingadorbrambz
XLeopo,GabrielWars
XLeopo,FullGhoren
XLeopo,XboxNaticos
bpapa,bpap
lucas_yeti,lucas_yet
GhostDogVG,WizzardOfTime
thenewyorktims,thenewyorktim
AnnaSmith61282,AnnaSmith6128
CEO_Beto,Lyyndesigner
Rellic1980,Zeldathons
arbolfest,Txabier
arbolfest,DiegoKermit
AstrobotFacts,AstrobotFact
SonicTheAccoun1,SonicTheAccoun
Kaidx36,Kaidx3
PauGrande12345,tripleyaku_man
roboburrito,roboburrit
SebStrife,SebStrif
cabracabral,cabracabra
PeriPeri_42,PeriPeri_4
seiy2k,kinkymation
seiy2k,DirtyCheetah91
luvcraft,luvcraf
SirpoSpin,SirpoSpi
Seaphron,ZachariusD
silversoundz,silversound
desertgranite,desertgranit
Courtney_Fay_M,Courtney_Fay_
matsuhannah,matsuhanna
SimpingDahlris,SimpingDahlri
TiredHawaiian,TiredHawaiia
Willowstration,nerdist
MFZOOM12,MFZOOM1
hojasecafrank,hojasecafran
blakeouellet,ZachariusD
Echo_Ladair,Echo_Ladai
DJEderJordao,Chief117Br
MugenPM,SuaveVillain
osugamer69,osugamer6
AllenWoods227,AllenWoods22
keylime_guy,keylime_gu
JustinWicker,JustinWicke
cathysuniverse,cathysunivers
AscendedTreason,AscendedTreaso
theburiedjack,theburiedjac
photoedfade,photoedfad
linkulinkufigrs,linkulinkufigr
_Greenix,_Greeni
Vitooo0r,Vitooo0
Jack_Strider,Jack_Stride
ItsAndrewXP,ItsAndrewX
MarkPR85,Zeldathons
AlexFromTumblr,OatsNHenny
MelonSpeedruns,AldenEtraWrites
foo_hazard,nerdist
t00frazzled,t00frazzle
rokettomusashi,rokettomusash
GwenRoseComedy,ZachariusD
misterapathy,ZachariusD
MyNameIsFunnyHa,TM4NESS99
MyNameIsFunnyHa,TetraTheThief
fleur_de_LA,fleur_de_L
DouggernaughtTV,DouggernaughtT
GizmodoES,GizmodoE
klinga333,schroedingerBox
